Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr1	183184847	183184847	chr1	183124727	183214726	NM_002293	3D	LAMC1	3915
chr1	183188061	183188061	chr1	183124727	183214726	NM_002293	3D	LAMC1	3915
chr5	137722821	137722821	chr5	137701180	137791179	NM_001964	5D	EGR1	1958
chr5	137754694	137754694	chr5	137701180	137791179	NM_001964	5D	EGR1	1958
chr5	137759009	137759009	chr5	137701180	137791179	NM_001964	5D	EGR1	1958
chr5	137765758	137765758	chr5	137701180	137791179	NM_001964	5D	EGR1	1958
chr5	137782203	137782203	chr5	137701180	137791179	NM_001964	5D	EGR1	1958
chr5	137797379	137797379	chr5	137791180	137799179	NM_001964	5P2	EGR1	1958
chr5	137802403	137802403	chr5	137801757	137802444	NM_001964	INTRON1	EGR1	1958
chr5	137805651	137805651	chr5	137805004	137807003	NM_001964	3P1	EGR1	1958
chr5	137822865	137822865	chr5	137815004	137905003	NM_001964	3D	EGR1	1958
chr5	137834138	137834138	chr5	137815004	137905003	NM_001964	3D	EGR1	1958
chr9	123791935	123791935	chr9	123789552	123792673	NM_001735	INTRON34	C5	727
chr9	123820491	123820491	chr9	123814554	123822553	NM_001735	5P2	C5	727
chr16	30130492	30130492	chr16	30129859	30133143	NM_001040056	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_001109891	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_002746	INTRON7	MAPK3	5595
chr20	4626877	4626877	chr20	4566796	4656795	NM_001271561	5D	PRNP	5621
chr20	4626877	4626877	chr20	4566796	4656795	NM_000311	5D	PRNP	5621
chr20	4626877	4626877	chr20	4566796	4656795	NM_001080121	5D	PRNP	5621
chr20	4626877	4626877	chr20	4566796	4656795	NM_183079	5D	PRNP	5621
chr20	4626877	4626877	chr20	4566796	4656795	NM_001080122	5D	PRNP	5621
chr20	4626877	4626877	chr20	4567156	4657155	NM_001080123	5D	PRNP	5621
chr21	22760636	22760636	chr21	22746333	22782592	NM_004540	INTRON9	NCAM2	4685
