Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr1	63225911	63225911	chr1	63149776	63239775	NM_178221	5D	ATG4C	84938
chr1	63225911	63225911	chr1	63149776	63239775	NM_032852	5D	ATG4C	84938
chr6	106594223	106594223	chr6	106532351	106622350	NM_004849	3D	ATG5	9474
chr6	106799103	106799103	chr6	106783695	106873694	NM_004849	5D	ATG5	9474
chr6	106800345	106800345	chr6	106783695	106873694	NM_004849	5D	ATG5	9474
chr9	21199679	21199679	chr9	21116371	21206370	NM_002173	3D	IFNA16	3449
chr9	21199679	21199679	chr9	21127241	21217240	NM_021268	3D	IFNA17	3451
chr9	21199679	21199679	chr9	21139200	21229199	NM_002172	3D	IFNA14	3448
chr9	21199679	21199679	chr9	21176659	21266658	NM_002175	5D	IFNA21	3452
chr9	21199679	21199679	chr9	21196179	21204178	NM_002171	3P2	IFNA10	3446
chr9	21199679	21199679	chr9	21199467	21201466	NM_021057	3P1	IFNA7	3444
chr9	21199679	21199679	chr9	21197598	21287597	NM_021068	5D	IFNA4	3441
chr12	132419532	132419532	chr12	132417707	132507706	NM_003565	3D	ULK1	8408
chr17	41046439	41046439	chr17	40986310	41076309	NM_003766	5D	BECN1	8678
