Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr1	101209652	101209652	chr1	101206601	101214600	NM_080682	3P2	VCAM1	7412
chr1	101209652	101209652	chr1	101206601	101214600	NM_001078	3P2	VCAM1	7412
chr1	101209652	101209652	chr1	101206601	101214600	NM_001199834	3P2	VCAM1	7412
chr1	226654251	226654251	chr1	226605801	226695800	NM_001618	5D	PARP1	142
chr2	98424285	98424285	chr2	98366323	98456322	NM_207519	3D	ZAP70	7535
chr2	98424285	98424285	chr2	98366323	98456322	NM_001079	3D	ZAP70	7535
chr6	31641385	31641385	chr6	31552100	31642099	NM_001159740	3D	LTA	4049
chr6	31641385	31641385	chr6	31552100	31642099	NM_000595	3D	LTA	4049
chr6	31641385	31641385	chr6	31556112	31646111	NM_000594	3D	TNF	7124
chr6	31641385	31641385	chr6	31560202	31650201	NM_002341	5D	LTB	4050
chr6	31641385	31641385	chr6	31560202	31650201	NM_009588	5D	LTB	4050
chr6	31641385	31641385	chr6	31639843	31647842	NM_001320	3P2	CSNK2B	1460
chr10	6387991	6387991	chr10	6369104	6459103	NM_006257	3D	PRKCQ	5588
chr10	6387991	6387991	chr10	6369104	6459103	NM_001242413	3D	PRKCQ	5588
chr10	97953285	97953285	chr10	97951848	97956662	NM_001114094	INTRON1	BLNK	29760
chr10	97953285	97953285	chr10	97951848	97959829	NM_001258441	INTRON1	BLNK	29760
chr10	97953285	97953285	chr10	97951848	97959829	NM_001258440	INTRON1	BLNK	29760
chr10	97953285	97953285	chr10	97951848	97956662	NM_013314	INTRON1	BLNK	29760
chr10	97953285	97953285	chr10	97951848	97959829	NM_001258442	INTRON1	BLNK	29760
chr10	97953285	97953285	chr10	97951848	97956662	NR_047682	INTRON1	BLNK	29760
chr10	97953285	97953285	chr10	97951848	97956662	NR_047681	INTRON1	BLNK	29760
chr10	97953285	97953285	chr10	97951848	97959829	NR_047683	INTRON1	BLNK	29760
chr10	97953285	97953285	chr10	97951848	97956662	NR_047680	INTRON1	BLNK	29760
chr10	97993941	97993941	chr10	97990590	98002489	NM_001114094	INTRON13	BLNK	29760
chr10	97993941	97993941	chr10	97990590	98002489	NM_001258441	INTRON12	BLNK	29760
chr10	97993941	97993941	chr10	97990590	98002489	NM_001258440	INTRON13	BLNK	29760
chr10	97993941	97993941	chr10	97990590	98002489	NM_013314	INTRON14	BLNK	29760
chr10	97993941	97993941	chr10	97990590	98002489	NM_001258442	INTRON11	BLNK	29760
chr10	97993941	97993941	chr10	97990590	98002489	NR_047682	INTRON12	BLNK	29760
chr10	97993941	97993941	chr10	97990590	98002484	NR_047681	INTRON12	BLNK	29760
chr10	97993941	97993941	chr10	97990590	98002489	NR_047680	INTRON13	BLNK	29760
chr10	97993941	97993941	chr10	97990590	98002489	NR_047683	INTRON11	BLNK	29760
chr12	6340387	6340387	chr12	6337922	6427921	NM_001065	3D	TNFRSF1A	7132
chr19	4769739	4769739	chr19	4715935	4805934	NM_182919	3D	TICAM1	148022
chr19	4784552	4784552	chr19	4715935	4805934	NM_182919	3D	TICAM1	148022
chr19	4889523	4889523	chr19	4841754	4931753	NM_182919	5D	TICAM1	148022
chrX	100543989	100543989	chrX	100504434	100594433	NM_000061	3D	BTK	695
chrX	100547595	100547595	chrX	100504434	100594433	NM_000061	3D	BTK	695
