Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr2	98424285	98424285	chr2	98366323	98456322	NM_207519	3D	ZAP70	7535
chr2	98424285	98424285	chr2	98366323	98456322	NM_001079	3D	ZAP70	7535
chr2	204842467	204842467	chr2	204836298	204926297	NM_012092	3D	ICOS	29851
chr5	179564140	179564140	chr5	179560594	179650593	NM_002752	3D	MAPK9	5601
chr5	179564140	179564140	chr5	179560594	179650593	NM_139069	3D	MAPK9	5601
chr5	179564140	179564140	chr5	179560594	179650593	NM_139070	3D	MAPK9	5601
chr5	179564140	179564140	chr5	179560594	179650593	NM_139068	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179560594	179650593	NM_002752	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179560594	179650593	NM_139069	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179560594	179650593	NM_139070	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179560594	179650593	NM_139068	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179573027	179663026	NM_001135044	3D	MAPK9	5601
chr6	31641385	31641385	chr6	31556112	31646111	NM_000594	3D	TNF	7124
chr9	104359260	104359260	chr9	104357283	104359282	NM_147180	5P1	PPP3R2	5535
chr10	6387991	6387991	chr10	6369104	6459103	NM_006257	3D	PRKCQ	5588
chr10	6387991	6387991	chr10	6369104	6459103	NM_001242413	3D	PRKCQ	5588
chr11	118231583	118231583	chr11	118196890	118286889	NM_000733	3D	CD3E	916
chr11	118231583	118231583	chr11	118226497	118234496	NM_000073	3P2	CD3G	917
chr11	118231583	118231583	chr11	118223459	118313458	NM_000732	5D	CD3D	915
chr11	118231583	118231583	chr11	118223459	118313458	NM_001040651	5D	CD3D	915
chr11	119218529	119218529	chr11	119188859	119278858	NM_005188	3D	CBL	867
chr11	119219123	119219123	chr11	119188859	119278858	NM_005188	3D	CBL	867
chr11	119235403	119235403	chr11	119188859	119278858	NM_005188	3D	CBL	867
chr16	30130492	30130492	chr16	30129859	30133143	NM_001040056	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_001109891	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_002746	INTRON7	MAPK3	5595
chr16	69530756	69530756	chr16	69499868	69589867	NM_001113178	5D	NFAT5	10725
chr16	69530756	69530756	chr16	69499868	69589867	NM_138714	5D	NFAT5	10725
chr16	69530756	69530756	chr16	69499868	69589867	NM_006599	5D	NFAT5	10725
chr16	69530756	69530756	chr16	69499868	69589867	NM_173214	5D	NFAT5	10725
chr16	69530756	69530756	chr16	69499868	69589867	NM_138713	5D	NFAT5	10725
chr16	69530756	69530756	chr16	69499868	69589867	NM_173215	5D	NFAT5	10725
chr20	50183239	50183239	chr20	50169258	50259257	NM_001258296	5D	NFATC2	4773
chr20	50183239	50183239	chr20	50169258	50259257	NM_012340	5D	NFATC2	4773
chr20	50183239	50183239	chr20	50169258	50259257	NM_001258297	5D	NFATC2	4773
chr20	50183239	50183239	chr20	50181370	50189369	NM_001258295	5P2	NFATC2	4773
chr20	50183239	50183239	chr20	50169258	50259257	NM_173091	5D	NFATC2	4773
chr20	50183239	50183239	chr20	50181370	50189369	NM_001258292	5P2	NFATC2	4773
chr20	50183239	50183239	chr20	50181370	50189369	NM_001258294	5P2	NFATC2	4773
chr20	50183239	50183239	chr20	50181370	50189369	NM_001136021	5P2	NFATC2	4773
chr20	50213721	50213721	chr20	50169258	50259257	NM_001258296	5D	NFATC2	4773
chr20	50213721	50213721	chr20	50169258	50259257	NM_012340	5D	NFATC2	4773
chr20	50213721	50213721	chr20	50169258	50259257	NM_001258297	5D	NFATC2	4773
chr20	50213721	50213721	chr20	50169258	50259257	NM_173091	5D	NFATC2	4773
chr20	50213721	50213721	chr20	50189370	50279369	NM_001258295	5D	NFATC2	4773
chr20	50213721	50213721	chr20	50189370	50279369	NM_001258292	5D	NFATC2	4773
chr20	50213721	50213721	chr20	50189370	50279369	NM_001258294	5D	NFATC2	4773
chr20	50213721	50213721	chr20	50189370	50279369	NM_001136021	5D	NFATC2	4773
