Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr1	172673321	172673321	chr1	172646012	172736011	NM_000639	3D	FASLG	356
chr1	201088888	201088888	chr1	201083694	201091693	NM_000069	5P2	CACNA1S	779
chr1	202075668	202075668	chr1	202016140	202106139	NR_037663	3D	PTPN7	5778
chr1	202075668	202075668	chr1	202016140	202106139	NR_037664	3D	PTPN7	5778
chr1	202075668	202075668	chr1	202016140	202106139	NM_001199797	3D	PTPN7	5778
chr1	202075668	202075668	chr1	202016140	202106139	NM_080588	3D	PTPN7	5778
chr1	202075668	202075668	chr1	202016140	202106139	NM_002832	3D	PTPN7	5778
chr1	202081211	202081211	chr1	202016140	202106139	NR_037663	3D	PTPN7	5778
chr1	202081211	202081211	chr1	202016140	202106139	NR_037664	3D	PTPN7	5778
chr1	202081211	202081211	chr1	202016140	202106139	NM_001199797	3D	PTPN7	5778
chr1	202081211	202081211	chr1	202016140	202106139	NM_080588	3D	PTPN7	5778
chr1	202081211	202081211	chr1	202016140	202106139	NM_002832	3D	PTPN7	5778
chr2	102315056	102315056	chr2	102315000	102407180	NM_145687	INTRON2	MAP4K4	9448
chr2	102315056	102315056	chr2	102315000	102407180	NM_001242560	INTRON2	MAP4K4	9448
chr2	102315056	102315056	chr2	102315000	102407180	NM_145686	INTRON2	MAP4K4	9448
chr2	102315056	102315056	chr2	102315000	102407180	NM_004834	INTRON2	MAP4K4	9448
chr2	102315056	102315056	chr2	102315000	102407180	NM_001242559	INTRON2	MAP4K4	9448
chr2	173875457	173875457	chr2	173840564	173930563	NM_016653	5D	ZAK	51776
chr2	173875457	173875457	chr2	173840564	173930563	NM_133646	5D	ZAK	51776
chr2	175904188	175904188	chr2	175836977	175926976	NM_001256092	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NM_001256090	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NR_045773	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NM_001256093	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NM_001880	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NR_045774	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NR_045771	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NR_045772	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NR_045770	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NM_001256091	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NR_045768	3D	ATF2	1386
chr2	175904188	175904188	chr2	175836977	175926976	NR_045769	3D	ATF2	1386
chr2	175904188	175904188	chr2	175878970	175968969	NM_001256094	3D	ATF2	1386
