Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr1	167880084	167880084	chr1	167871292	167883212	NM_001167749	INTRON29	ADCY10	55811
chr1	167880084	167880084	chr1	167874436	167883212	NM_018417	INTRON32	ADCY10	55811
chr1	167944642	167944642	chr1	167893453	167983452	NM_018417	5D	ADCY10	55811
chr1	167944642	167944642	chr1	167893453	167983452	NM_001167749	5D	ADCY10	55811
chr1	237802064	237802064	chr1	237801792	237802313	NM_001035	INTRON45	RYR2	6262
chr3	4444710	4444710	chr3	4435031	4525030	NM_001099952	5D	ITPR1	3708
chr3	4444710	4444710	chr3	4435031	4525030	NM_002222	5D	ITPR1	3708
chr3	4444710	4444710	chr3	4435031	4525030	NM_001168272	5D	ITPR1	3708
chr3	4463007	4463007	chr3	4435031	4525030	NM_001099952	5D	ITPR1	3708
chr3	4463007	4463007	chr3	4435031	4525030	NM_002222	5D	ITPR1	3708
chr3	4463007	4463007	chr3	4435031	4525030	NM_001168272	5D	ITPR1	3708
chr3	4486302	4486302	chr3	4435031	4525030	NM_001099952	5D	ITPR1	3708
chr3	4486302	4486302	chr3	4435031	4525030	NM_002222	5D	ITPR1	3708
chr3	4486302	4486302	chr3	4435031	4525030	NM_001168272	5D	ITPR1	3708
chr5	149575122	149575122	chr5	149499053	149589052	NM_171825	3D	CAMK2A	815
chr5	149575122	149575122	chr5	149499053	149589052	NM_015981	3D	CAMK2A	815
chr5	153003763	153003763	chr5	152870530	153026486	NR_047578	INTRON1	GRIA1	2890
chr5	153003763	153003763	chr5	152873625	153026486	NM_001114183	INTRON2	GRIA1	2890
chr5	153003763	153003763	chr5	152873625	153029888	NM_001258019	INTRON2	GRIA1	2890
chr5	153003763	153003763	chr5	152873625	153026486	NM_001258021	INTRON2	GRIA1	2890
chr5	153003763	153003763	chr5	152873625	153026486	NM_000827	INTRON2	GRIA1	2890
chr5	153003763	153003763	chr5	152873625	153026486	NM_001258023	INTRON2	GRIA1	2890
chr5	153003763	153003763	chr5	152873625	153026486	NM_001258022	INTRON2	GRIA1	2890
chr5	153003763	153003763	chr5	152889366	153026486	NM_001258020	INTRON3	GRIA1	2890
chr5	153017417	153017417	chr5	152870530	153026486	NR_047578	INTRON1	GRIA1	2890
chr5	153017417	153017417	chr5	152873625	153026486	NM_001114183	INTRON2	GRIA1	2890
chr5	153017417	153017417	chr5	152873625	153029888	NM_001258019	INTRON2	GRIA1	2890
chr5	153017417	153017417	chr5	152873625	153026486	NM_001258021	INTRON2	GRIA1	2890
chr5	153017417	153017417	chr5	152873625	153026486	NM_000827	INTRON2	GRIA1	2890
chr5	153017417	153017417	chr5	152873625	153026486	NM_001258023	INTRON2	GRIA1	2890
chr5	153017417	153017417	chr5	152873625	153026486	NM_001258022	INTRON2	GRIA1	2890
