Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr1	112021028	112021028	chr1	112014525	112104524	NM_001688	3D	ATP5F1	515
chr3	4444710	4444710	chr3	4435031	4525030	NM_001099952	5D	ITPR1	3708
chr3	4444710	4444710	chr3	4435031	4525030	NM_002222	5D	ITPR1	3708
chr3	4444710	4444710	chr3	4435031	4525030	NM_001168272	5D	ITPR1	3708
chr3	4463007	4463007	chr3	4435031	4525030	NM_001099952	5D	ITPR1	3708
chr3	4463007	4463007	chr3	4435031	4525030	NM_002222	5D	ITPR1	3708
chr3	4463007	4463007	chr3	4435031	4525030	NM_001168272	5D	ITPR1	3708
chr3	4486302	4486302	chr3	4435031	4525030	NM_001099952	5D	ITPR1	3708
chr3	4486302	4486302	chr3	4435031	4525030	NM_002222	5D	ITPR1	3708
chr3	4486302	4486302	chr3	4435031	4525030	NM_001168272	5D	ITPR1	3708
chr3	12254129	12254129	chr3	12229348	12319347	NM_138712	5D	PPARG	5468
chr3	12254129	12254129	chr3	12230435	12320434	NM_138711	5D	PPARG	5468
chr3	12254129	12254129	chr3	12229348	12319347	NM_005037	5D	PPARG	5468
chr3	12360213	12360213	chr3	12293000	12382999	NM_015869	5D	PPARG	5468
chr3	12360213	12360213	chr3	12329519	12421201	NM_005037	INTRON1	PPARG	5468
chr3	12360213	12360213	chr3	12353952	12421201	NM_138712	INTRON2	PPARG	5468
chr3	12360213	12360213	chr3	12353952	12421201	NM_138711	INTRON2	PPARG	5468
chr3	12391206	12391206	chr3	12391000	12392999	NM_015869	5P1	PPARG	5468
chr3	12391206	12391206	chr3	12329519	12421201	NM_005037	INTRON1	PPARG	5468
chr3	12391206	12391206	chr3	12353952	12421201	NM_138712	INTRON2	PPARG	5468
chr3	12391206	12391206	chr3	12353952	12421201	NM_138711	INTRON2	PPARG	5468
chr3	12391582	12391582	chr3	12391000	12392999	NM_015869	5P1	PPARG	5468
chr3	12391582	12391582	chr3	12329519	12421201	NM_005037	INTRON1	PPARG	5468
chr3	12391582	12391582	chr3	12353952	12421201	NM_138712	INTRON2	PPARG	5468
chr3	12391582	12391582	chr3	12353952	12421201	NM_138711	INTRON2	PPARG	5468
chr4	57941159	57941159	chr4	57907334	57997333	NM_000938	3D	POLR2B	5431
chr4	57941699	57941699	chr4	57907334	57997333	NM_000938	3D	POLR2B	5431
chr4	141578252	141578252	chr4	141499959	141589958	NM_021833	5D	UCP1	7350
chr5	85911653	85911653	chr5	85903783	85911782	NM_001867	5P2	COX7C	1350
chr6	160210060	160210060	chr6	160124353	160214352	NM_000636	5D	SOD2	6648
chr6	160210060	160210060	chr6	160124353	160214352	NM_001024466	5D	SOD2	6648
chr6	160210060	160210060	chr6	160124353	160214352	NM_001024465	5D	SOD2	6648
chr6	170792766	170792766	chr6	170763420	170853419	NM_001172085	5D	TBP	6908
