Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr5	137722821	137722821	chr5	137677516	137767515	NM_022809	5D	CDC25C	995
chr5	137722821	137722821	chr5	137677516	137767515	NM_001790	5D	CDC25C	995
chr5	137754694	137754694	chr5	137677516	137767515	NM_022809	5D	CDC25C	995
chr5	137754694	137754694	chr5	137677516	137767515	NM_001790	5D	CDC25C	995
chr5	137759009	137759009	chr5	137677516	137767515	NM_022809	5D	CDC25C	995
chr5	137759009	137759009	chr5	137677516	137767515	NM_001790	5D	CDC25C	995
chr5	137765758	137765758	chr5	137677516	137767515	NM_022809	5D	CDC25C	995
chr5	137765758	137765758	chr5	137677516	137767515	NM_001790	5D	CDC25C	995
chr5	179564140	179564140	chr5	179560594	179650593	NM_002752	3D	MAPK9	5601
chr5	179564140	179564140	chr5	179560594	179650593	NM_139069	3D	MAPK9	5601
chr5	179564140	179564140	chr5	179560594	179650593	NM_139070	3D	MAPK9	5601
chr5	179564140	179564140	chr5	179560594	179650593	NM_139068	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179560594	179650593	NM_002752	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179560594	179650593	NM_139069	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179560594	179650593	NM_139070	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179560594	179650593	NM_139068	3D	MAPK9	5601
chr5	179587748	179587748	chr5	179573027	179663026	NM_001135044	3D	MAPK9	5601
chr7	140538990	140538990	chr7	140534672	140549909	NM_004333	INTRON16	BRAF	673
chr8	131920535	131920535	chr8	131916288	131921952	NM_001115	INTRON12	ADCY8	114
chr8	131936278	131936278	chr8	131922112	131949317	NM_001115	INTRON13	ADCY8	114
chr8	131936853	131936853	chr8	131922112	131949317	NM_001115	INTRON13	ADCY8	114
chr8	131936876	131936876	chr8	131922112	131949317	NM_001115	INTRON13	ADCY8	114
chr8	131954651	131954651	chr8	131949446	131955595	NM_001115	INTRON14	ADCY8	114
chr9	115983539	115983539	chr9	115929289	116019288	NM_139286	3D	CDC26	246184
chr15	99498084	99498084	chr15	99491937	99500288	NM_000875	INTRON20	IGF1R	3480
chr15	99500073	99500073	chr15	99491937	99500288	NM_000875	INTRON20	IGF1R	3480
chr16	4245692	4245692	chr16	4176186	4266185	NM_001116	5D	ADCY9	115
chr16	30130492	30130492	chr16	30129859	30133143	NM_001040056	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_001109891	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_002746	INTRON7	MAPK3	5595
chr19	3448693	3448693	chr19	3406294	3496293	NM_016263	5D	FZR1	51343
chr19	3448693	3448693	chr19	3422953	3512952	NM_001136198	5D	FZR1	51343
chr19	3448693	3448693	chr19	3422953	3512952	NM_001136197	5D	FZR1	51343
chrX	20371064	20371064	chrX	20294750	20384749	NM_004586	5D	RPS6KA3	6197
chrX	83239759	83239759	chrX	83213353	83303352	NM_014496	3D	RPS6KA6	27330
