Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr1	22224101	22224101	chr1	22222803	22263646	NM_005529	INTRON96	HSPG2	3339
chr1	113056989	113056989	chr1	113033703	113057494	NM_004185	INTRON2	WNT2B	7482
chr1	113056989	113056989	chr1	113052066	113057494	NM_024494	INTRON1	WNT2B	7482
chr1	172673321	172673321	chr1	172646012	172736011	NM_000639	3D	FASLG	356
chr3	4444710	4444710	chr3	4435031	4525030	NM_001099952	5D	ITPR1	3708
chr3	4444710	4444710	chr3	4435031	4525030	NM_002222	5D	ITPR1	3708
chr3	4444710	4444710	chr3	4435031	4525030	NM_001168272	5D	ITPR1	3708
chr3	4463007	4463007	chr3	4435031	4525030	NM_001099952	5D	ITPR1	3708
chr3	4463007	4463007	chr3	4435031	4525030	NM_002222	5D	ITPR1	3708
chr3	4463007	4463007	chr3	4435031	4525030	NM_001168272	5D	ITPR1	3708
chr3	4486302	4486302	chr3	4435031	4525030	NM_001099952	5D	ITPR1	3708
chr3	4486302	4486302	chr3	4435031	4525030	NM_002222	5D	ITPR1	3708
chr3	4486302	4486302	chr3	4435031	4525030	NM_001168272	5D	ITPR1	3708
chr3	58165232	58165232	chr3	58159982	58167981	NM_001164317	3P2	FLNB	2317
chr3	58165232	58165232	chr3	58159982	58167981	NM_001164318	3P2	FLNB	2317
chr3	58165232	58165232	chr3	58159982	58167981	NM_001164319	3P2	FLNB	2317
chr3	58165232	58165232	chr3	58159982	58167981	NM_001457	3P2	FLNB	2317
chr5	52234614	52234614	chr5	52185155	52275154	NR_073103	5D	ITGA2	3673
chr5	52234614	52234614	chr5	52185155	52275154	NR_073107	5D	ITGA2	3673
chr5	52234614	52234614	chr5	52185155	52275154	NR_073105	5D	ITGA2	3673
chr5	52234614	52234614	chr5	52185155	52275154	NM_002203	5D	ITGA2	3673
chr5	52234614	52234614	chr5	52185155	52275154	NR_073104	5D	ITGA2	3673
chr5	52234614	52234614	chr5	52185155	52275154	NR_073106	5D	ITGA2	3673
chr5	52408131	52408131	chr5	52400609	52490608	NR_073104	3D	ITGA2	3673
chr5	52408131	52408131	chr5	52400609	52490608	NR_073107	3D	ITGA2	3673
chr5	52408131	52408131	chr5	52400609	52490608	NM_002203	3D	ITGA2	3673
chr5	52408131	52408131	chr5	52400609	52490608	NR_073103	3D	ITGA2	3673
chr5	52408131	52408131	chr5	52400609	52490608	NR_073105	3D	ITGA2	3673
chr5	52408131	52408131	chr5	52400609	52490608	NR_073106	3D	ITGA2	3673
chr5	137350477	137350477	chr5	137319773	137409772	NM_058244	5D	WNT8A	7478
chr5	137419988	137419988	chr5	137419972	137420185	NM_058244	INTRON2	WNT8A	7478
chr5	149575122	149575122	chr5	149499053	149589052	NM_171825	3D	CAMK2A	815
chr5	149575122	149575122	chr5	149499053	149589052	NM_015981	3D	CAMK2A	815
chr6	31641385	31641385	chr6	31556112	31646111	NM_000594	3D	TNF	7124
chr6	152212507	152212507	chr6	152201906	152265306	NM_001122742	INTRON5	ESR1	2099
chr6	152212507	152212507	chr6	152201906	152265306	NM_001122741	INTRON4	ESR1	2099
chr6	152212507	152212507	chr6	152201906	152265306	NM_001122740	INTRON4	ESR1	2099
chr6	152212507	152212507	chr6	152201906	152265306	NM_000125	INTRON3	ESR1	2099
chr7	5530781	5530781	chr7	5466778	5556777	NM_001101	3D	ACTB	60
chr7	116879223	116879223	chr7	116816685	116906684	NR_024047	3D	WNT2	7472
chr7	116879223	116879223	chr7	116816685	116906684	NM_003391	3D	WNT2	7472
chr7	140538990	140538990	chr7	140534672	140549909	NM_004333	INTRON16	BRAF	673
chr8	28384711	28384711	chr8	28384663	28385680	NM_145866	EXON4	FZD3	7976
chr8	28384711	28384711	chr8	28384663	28385680	NM_017412	EXON5	FZD3	7976
chr8	28411071	28411071	chr8	28409268	28413253	NM_145866	INTRON5	FZD3	7976
chr8	28411071	28411071	chr8	28409268	28413253	NM_017412	INTRON6	FZD3	7976
chr8	28416550	28416550	chr8	28413488	28420313	NM_145866	INTRON6	FZD3	7976
chr8	28416550	28416550	chr8	28413488	28420313	NM_017412	INTRON7	FZD3	7976
chr8	28422487	28422487	chr8	28420314	28431784	NM_145866	EXON7	FZD3	7976
chr8	28422487	28422487	chr8	28420314	28431784	NM_017412	EXON8	FZD3	7976
chr8	28435667	28435667	chr8	28433785	28441784	NM_145866	3P2	FZD3	7976
chr8	28435667	28435667	chr8	28433785	28441784	NM_017412	3P2	FZD3	7976
chr9	90390558	90390558	chr9	90356384	90446383	NM_001912	3D	CTSL1	1514
chr9	90390558	90390558	chr9	90356384	90446383	NM_001257973	3D	CTSL1	1514
chr9	90390558	90390558	chr9	90356384	90446383	NM_145918	3D	CTSL1	1514
chr9	90390558	90390558	chr9	90356384	90446383	NM_001257971	3D	CTSL1	1514
chr9	90390558	90390558	chr9	90356384	90446383	NM_001257972	3D	CTSL1	1514
chr9	90403093	90403093	chr9	90356384	90446383	NM_001912	3D	CTSL1	1514
chr9	90403093	90403093	chr9	90356384	90446383	NM_001257973	3D	CTSL1	1514
chr9	90403093	90403093	chr9	90356384	90446383	NM_145918	3D	CTSL1	1514
chr9	90403093	90403093	chr9	90356384	90446383	NM_001257971	3D	CTSL1	1514
chr9	90403093	90403093	chr9	90356384	90446383	NM_001257972	3D	CTSL1	1514
chr9	98349920	98349920	chr9	98280831	98370830	NM_000264	5D	PTCH1	5727
chr9	98349920	98349920	chr9	98279699	98369698	NM_001083606	5D	PTCH1	5727
chr9	98349920	98349920	chr9	98279481	98369480	NM_001083607	5D	PTCH1	5727
chr9	98349920	98349920	chr9	98280322	98370321	NM_001083604	5D	PTCH1	5727
chr9	98349920	98349920	chr9	98280322	98370321	NM_001083605	5D	PTCH1	5727
chr9	98349920	98349920	chr9	98289247	98379246	NM_001083602	5D	PTCH1	5727
chr9	98349920	98349920	chr9	98289247	98379246	NM_001083603	5D	PTCH1	5727
chr9	98359187	98359187	chr9	98280831	98370830	NM_000264	5D	PTCH1	5727
chr9	98359187	98359187	chr9	98279699	98369698	NM_001083606	5D	PTCH1	5727
chr9	98359187	98359187	chr9	98279481	98369480	NM_001083607	5D	PTCH1	5727
chr9	98359187	98359187	chr9	98280322	98370321	NM_001083604	5D	PTCH1	5727
chr9	98359187	98359187	chr9	98280322	98370321	NM_001083605	5D	PTCH1	5727
chr9	98359187	98359187	chr9	98289247	98379246	NM_001083602	5D	PTCH1	5727
chr9	98359187	98359187	chr9	98289247	98379246	NM_001083603	5D	PTCH1	5727
chr9	98368876	98368876	chr9	98280831	98370830	NM_000264	5D	PTCH1	5727
