Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204188	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_005427	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204186	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204187	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204185	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204184	INTRON1	TP73	7161
chr5	110596685	110596685	chr5	110560342	110679720	NM_001744	INTRON1	CAMK4	814
chr5	110601041	110601041	chr5	110560342	110679720	NM_001744	INTRON1	CAMK4	814
chr7	140538990	140538990	chr7	140534672	140549909	NM_004333	INTRON16	BRAF	673
chr12	5613535	5613535	chr12	5606465	5614464	NM_002527	3P2	NTF3	4908
chr12	5613535	5613535	chr12	5606465	5614464	NM_001102654	3P2	NTF3	4908
chr15	88432170	88432170	chr15	88423659	88472420	NM_002530	INTRON2	NTRK3	4916
chr15	88432170	88432170	chr15	88423659	88472420	NM_001243101	INTRON2	NTRK3	4916
chr15	88432170	88432170	chr15	88428966	88472420	NM_001012338	INTRON3	NTRK3	4916
chr15	88437068	88437068	chr15	88423659	88472420	NM_002530	INTRON2	NTRK3	4916
chr15	88437068	88437068	chr15	88423659	88472420	NM_001243101	INTRON2	NTRK3	4916
chr15	88437068	88437068	chr15	88428966	88472420	NM_001012338	INTRON3	NTRK3	4916
chr16	30130492	30130492	chr16	30129859	30133143	NM_001040056	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_001109891	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_002746	INTRON7	MAPK3	5595
