Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr2	103120482	103120482	chr2	103120166	103121711	NM_001011552	INTRON3	SLC9A4	389015
chr8	92345746	92345746	chr8	92330608	92346521	NM_134266	INTRON5	SLC26A7	115111
chr8	92345746	92345746	chr8	92330608	92346521	NM_052832	INTRON5	SLC26A7	115111
chr8	131920535	131920535	chr8	131916288	131921952	NM_001115	INTRON12	ADCY8	114
chr8	131936278	131936278	chr8	131922112	131949317	NM_001115	INTRON13	ADCY8	114
chr8	131936853	131936853	chr8	131922112	131949317	NM_001115	INTRON13	ADCY8	114
chr8	131936876	131936876	chr8	131922112	131949317	NM_001115	INTRON13	ADCY8	114
chr8	131954651	131954651	chr8	131949446	131955595	NM_001115	INTRON14	ADCY8	114
chr11	2712285	2712285	chr11	2683311	2790072	NM_000218	INTRON11	KCNQ1	3784
chr11	2712285	2712285	chr11	2683311	2790072	NR_040711	INTRON11	KCNQ1	3784
chr11	2715531	2715531	chr11	2683311	2790072	NM_000218	INTRON11	KCNQ1	3784
chr11	2715531	2715531	chr11	2683311	2790072	NR_040711	INTRON11	KCNQ1	3784
chr11	128729844	128729844	chr11	128710159	128737066	NM_153764	INTRON1	KCNJ1	3758
chr11	128729844	128729844	chr11	128710159	128736416	NM_153765	INTRON1	KCNJ1	3758
chr11	128729844	128729844	chr11	128720785	128736416	NM_153767	INTRON2	KCNJ1	3758
chr11	128729844	128729844	chr11	128720785	128737066	NM_153766	INTRON2	KCNJ1	3758
chr11	128735258	128735258	chr11	128710159	128737066	NM_153764	INTRON1	KCNJ1	3758
chr11	128735258	128735258	chr11	128710159	128736416	NM_153765	INTRON1	KCNJ1	3758
chr11	128735258	128735258	chr11	128720785	128736416	NM_153767	INTRON2	KCNJ1	3758
chr11	128735258	128735258	chr11	128720785	128737066	NM_153766	INTRON2	KCNJ1	3758
chr11	128735665	128735665	chr11	128710159	128737066	NM_153764	INTRON1	KCNJ1	3758
chr11	128735665	128735665	chr11	128710159	128736416	NM_153765	INTRON1	KCNJ1	3758
chr11	128735665	128735665	chr11	128720785	128736416	NM_153767	INTRON2	KCNJ1	3758
chr11	128735665	128735665	chr11	128720785	128737066	NM_153766	INTRON2	KCNJ1	3758
chr17	64340379	64340379	chr17	64302245	64492317	NM_002737	INTRON2	PRKCA	5578
chr20	8450246	8450246	chr20	8352097	8608939	NM_015192	INTRON3	PLCB1	23236
chr20	8450246	8450246	chr20	8352097	8608939	NM_182734	INTRON3	PLCB1	23236
