Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204188	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_005427	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204186	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204187	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204185	INTRON1	TP73	7161
chr1	3597016	3597016	chr1	3569205	3598895	NM_001204184	INTRON1	TP73	7161
chr6	31641385	31641385	chr6	31639843	31647842	NM_001320	3P2	CSNK2B	1460
chr8	23051354	23051354	chr8	23049526	23054643	NM_003844	INTRON1	TNFRSF10A	8797
chr9	21199679	21199679	chr9	21196179	21204178	NM_002171	3P2	IFNA10	3446
chr9	21199679	21199679	chr9	21199467	21201466	NM_021057	3P1	IFNA7	3444
chr11	118231583	118231583	chr11	118226497	118234496	NM_000073	3P2	CD3G	917
chr12	4388270	4388270	chr12	4388085	4398006	NM_001759	INTRON3	CCND2	894
chr21	42818789	42818789	chr21	42818068	42821062	NM_001144925	INTRON15	MX1	4599
chr21	42818789	42818789	chr21	42818068	42821062	NM_002462	INTRON13	MX1	4599
chr21	42818789	42818789	chr21	42818068	42821062	NM_001178046	INTRON11	MX1	4599
