Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr3	12360213	12360213	chr3	12329519	12421201	NM_005037	INTRON1	PPARG	5468
chr3	12360213	12360213	chr3	12353952	12421201	NM_138712	INTRON2	PPARG	5468
chr3	12360213	12360213	chr3	12353952	12421201	NM_138711	INTRON2	PPARG	5468
chr3	12391206	12391206	chr3	12391000	12392999	NM_015869	5P1	PPARG	5468
chr3	12391206	12391206	chr3	12329519	12421201	NM_005037	INTRON1	PPARG	5468
chr3	12391206	12391206	chr3	12353952	12421201	NM_138712	INTRON2	PPARG	5468
chr3	12391206	12391206	chr3	12353952	12421201	NM_138711	INTRON2	PPARG	5468
chr3	12391582	12391582	chr3	12391000	12392999	NM_015869	5P1	PPARG	5468
chr3	12391582	12391582	chr3	12329519	12421201	NM_005037	INTRON1	PPARG	5468
chr3	12391582	12391582	chr3	12353952	12421201	NM_138712	INTRON2	PPARG	5468
chr3	12391582	12391582	chr3	12353952	12421201	NM_138711	INTRON2	PPARG	5468
chr4	16087855	16087855	chr4	16087594	16095593	NM_001145847	5P2	PROM1	8842
chr4	16087855	16087855	chr4	16087623	16095622	NM_001145848	5P2	PROM1	8842
chr9	36944716	36944716	chr9	36923481	36966544	NM_016734	INTRON4	PAX5	5079
chr9	36947126	36947126	chr9	36923481	36966544	NM_016734	INTRON4	PAX5	5079
chr11	128582943	128582943	chr11	128556596	128628008	NM_001271012	INTRON1	FLI1	2313
chr11	128582943	128582943	chr11	128564171	128628008	NM_002017	INTRON1	FLI1	2313
chr11	128582943	128582943	chr11	128564171	128628008	NM_001271010	INTRON1	FLI1	2313
chr11	128582943	128582943	chr11	128564171	128618130	NM_001167681	INTRON1	FLI1	2313
chr12	4388270	4388270	chr12	4388085	4398006	NM_001759	INTRON3	CCND2	894
chr15	99498084	99498084	chr15	99491937	99500288	NM_000875	INTRON20	IGF1R	3480
chr15	99500073	99500073	chr15	99491937	99500288	NM_000875	INTRON20	IGF1R	3480
chr19	2238666	2238666	chr19	2234577	2242576	NM_032482	3P2	DOT1L	84444
chr21	36363527	36363527	chr21	36265260	36421137	NM_001754	INTRON7	RUNX1	861
