Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr9	77160814	77160814	chr9	77112899	77245196	NM_006914	INTRON1	RORB	6096
chr12	49390676	49390676	chr12	49386054	49394053	NM_001206709	3P2	PRKAG1	5571
chr12	49390676	49390676	chr12	49386054	49394053	NM_001206710	3P2	PRKAG1	5571
chr12	49390676	49390676	chr12	49386054	49394053	NM_002733	3P2	PRKAG1	5571
chr12	49398861	49398861	chr12	49398801	49398901	NM_001206709	INTRON6	PRKAG1	5571
chr12	49398861	49398861	chr12	49398801	49398901	NM_001206710	INTRON6	PRKAG1	5571
chr12	49398861	49398861	chr12	49398801	49398901	NM_002733	INTRON6	PRKAG1	5571
chr12	49422093	49422093	chr12	49414531	49422530	NM_001206710	5P2	PRKAG1	5571
chr12	49422093	49422093	chr12	49414629	49422628	NM_001206709	5P2	PRKAG1	5571
chr12	49422093	49422093	chr12	49414629	49422628	NM_002733	5P2	PRKAG1	5571
chr15	61000662	61000662	chr15	60970885	61521250	NM_134261	INTRON10	RORA	6095
