Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr4	22708874	22708874	chr4	22694696	22737602	NR_102355	INTRON1	GBA3	57733
chr4	22708874	22708874	chr4	22694696	22737602	NM_001128432	INTRON1	GBA3	57733
chr4	22708874	22708874	chr4	22694696	22737602	NM_020973	INTRON1	GBA3	57733
chr4	22708874	22708874	chr4	22705711	22713710	NM_001277225	5P2	GBA3	57733
chr4	22708874	22708874	chr4	22694696	22737602	NR_102356	INTRON1	GBA3	57733
chr4	22708874	22708874	chr4	22705711	22713710	NR_102357	5P2	GBA3	57733
chr4	22748755	22748755	chr4	22737831	22820342	NM_001128432	INTRON2	GBA3	57733
chr4	22748755	22748755	chr4	22737831	22748917	NR_102355	INTRON2	GBA3	57733
chr4	22748755	22748755	chr4	22737831	22748917	NM_020973	INTRON2	GBA3	57733
chr4	22748755	22748755	chr4	22737831	22748917	NM_001277225	INTRON2	GBA3	57733
chr4	22748755	22748755	chr4	22737831	22820342	NR_102356	INTRON2	GBA3	57733
chr4	22748755	22748755	chr4	22737831	22748917	NR_102357	INTRON2	GBA3	57733
