Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr3	59884452	59884452	chr3	59738047	59908070	NM_002012	INTRON2	FHIT	2272
chr3	59884452	59884452	chr3	59738047	59908070	NM_001166243	INTRON2	FHIT	2272
chr3	60497850	60497850	chr3	59999878	60522591	NM_002012	INTRON5	FHIT	2272
chr3	60497850	60497850	chr3	59999878	60522591	NM_001166243	INTRON5	FHIT	2272
chr3	60599390	60599390	chr3	60522712	60807611	NM_002012	INTRON6	FHIT	2272
chr3	60599390	60599390	chr3	60522712	60807611	NM_001166243	INTRON6	FHIT	2272
chr3	60615589	60615589	chr3	60522712	60807611	NM_002012	INTRON6	FHIT	2272
chr3	60615589	60615589	chr3	60522712	60807611	NM_001166243	INTRON6	FHIT	2272
chr3	60625597	60625597	chr3	60522712	60807611	NM_002012	INTRON6	FHIT	2272
chr3	60625597	60625597	chr3	60522712	60807611	NM_001166243	INTRON6	FHIT	2272
chr3	60720890	60720890	chr3	60522712	60807611	NM_002012	INTRON6	FHIT	2272
chr3	60720890	60720890	chr3	60522712	60807611	NM_001166243	INTRON6	FHIT	2272
chr6	20408918	20408918	chr6	20402856	20480075	NM_001949	INTRON1	E2F3	1871
chr6	20408918	20408918	chr6	20404063	20480075	NM_001243076	INTRON1	E2F3	1871
chr7	140538990	140538990	chr7	140534672	140549909	NM_004333	INTRON16	BRAF	673
chr16	30130492	30130492	chr16	30129859	30133143	NM_001040056	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_001109891	INTRON6	MAPK3	5595
chr16	30130492	30130492	chr16	30129859	30133143	NM_002746	INTRON7	MAPK3	5595
chr17	64340379	64340379	chr17	64302245	64492317	NM_002737	INTRON2	PRKCA	5578
