Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr2	169853632	169853632	chr2	169853232	169869780	NM_003742	INTRON23	ABCB11	8647
chr2	169889071	169889071	chr2	169887833	169889832	NM_003742	5P1	ABCB11	8647
chr6	160581910	160581910	chr6	160581750	160589749	NM_003057	3P2	SLC22A1	6580
chr6	160581910	160581910	chr6	160581750	160589749	NM_153187	3P2	SLC22A1	6580
chr8	131920535	131920535	chr8	131916288	131921952	NM_001115	INTRON12	ADCY8	114
chr8	131936278	131936278	chr8	131922112	131949317	NM_001115	INTRON13	ADCY8	114
chr8	131936853	131936853	chr8	131922112	131949317	NM_001115	INTRON13	ADCY8	114
chr8	131936876	131936876	chr8	131922112	131949317	NM_001115	INTRON13	ADCY8	114
chr8	131954651	131954651	chr8	131949446	131955595	NM_001115	INTRON14	ADCY8	114
chr12	125354102	125354102	chr12	125350519	125358518	NM_005505	5P2	SCARB1	949
chr12	125354102	125354102	chr12	125350519	125358518	NM_001082959	5P2	SCARB1	949
chr13	95843149	95843149	chr13	95840796	95847088	NM_001105515	INTRON12	ABCC4	10257
chr13	95843149	95843149	chr13	95840796	95847088	NM_005845	INTRON22	ABCC4	10257
chr13	95860573	95860573	chr13	95860179	95861686	NM_001105515	INTRON15	ABCC4	10257
chr13	95860573	95860573	chr13	95860179	95861686	NM_005845	INTRON25	ABCC4	10257
chr13	95918062	95918062	chr13	95900007	95953493	NM_001105515	INTRON20	ABCC4	10257
chr13	95918062	95918062	chr13	95900007	95953493	NM_005845	INTRON30	ABCC4	10257
chr13	95927385	95927385	chr13	95900007	95953493	NM_001105515	INTRON20	ABCC4	10257
chr13	95927385	95927385	chr13	95900007	95953493	NM_005845	INTRON30	ABCC4	10257
chr13	95929887	95929887	chr13	95900007	95953493	NM_001105515	INTRON20	ABCC4	10257
chr13	95929887	95929887	chr13	95900007	95953493	NM_005845	INTRON30	ABCC4	10257
