Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr6	32975510	32975510	chr6	32975369	32975788	NM_002119	INTRON3	HLA-DOA	3111
chr6	33034595	33034595	chr6	33033124	33036413	NM_001242524	INTRON1	HLA-DPA1	3113
chr6	33034595	33034595	chr6	33033702	33041701	NM_002121	5P2	HLA-DPB1	3115
chr6	33034595	33034595	chr6	33033124	33036413	NM_001242525	INTRON1	HLA-DPA1	3113
chr6	33034595	33034595	chr6	33033124	33036413	NM_033554	INTRON1	HLA-DPA1	3113
chr6	33054860	33054860	chr6	33050555	33058554	NM_001242524	5P2	HLA-DPA1	3113
chr6	33054860	33054860	chr6	33050555	33058554	NM_001242525	5P2	HLA-DPA1	3113
chr6	129845906	129845906	chr6	129839710	129847709	NM_001079823	3P2	LAMA2	3908
chr6	129845906	129845906	chr6	129839710	129847709	NM_000426	3P2	LAMA2	3908
chr13	23765099	23765099	chr13	23755214	23777832	NM_000231	INTRON1	SGCG	6445
chr13	23771129	23771129	chr13	23755214	23777832	NM_000231	INTRON1	SGCG	6445
chr13	23771195	23771195	chr13	23755214	23777832	NM_000231	INTRON1	SGCG	6445
chr13	23774922	23774922	chr13	23755214	23777832	NM_000231	INTRON1	SGCG	6445
